appid,name,player_count
5,Dedicated Server,0
7,Steam Client,38
8,winui2,2
10,Counter-Strike,10135
20,Team Fortress Classic,37
30,Day of Defeat,84
40,Deathmatch Classic,4
50,Half-Life: Opposing Force,74
60,Ricochet,3
70,Half-Life,636
80,Counter-Strike: Condition Zero,463
90,Half-Life Dedicated Server,6
92,Codename Gordon,400
100,Counter-Strike: Condition Zero Deleted Scenes,60
130,Half-Life: Blue Shift,42
150,Counter-Strike Steamworks Beta,0
205,Source Dedicated Server,1
210,Source Dedicated Server,0
211,Source SDK,74
215,Source SDK Base 2006,7
218,Source SDK Base 2007,99872
219,Half-Life 2: Demo,17
220,Half-Life 2,1802
240,Counter-Strike: Source,3673
260,Counter-Strike: Source Beta,0
280,Half-Life: Source,29
300,Day of Defeat: Source,263
304,Day of Defeat: Source Press Review,0
310,Source 2007 Dedicated Server,0
320,Half-Life 2: Deathmatch,148
340,Half-Life 2: Lost Coast,2
360,Half-Life Deathmatch: Source,21
364,HL1:MP Linux client,0
380,Half-Life 2: Episode One,9
400,Portal,471
410,Portal: First Slice,11
420,Half-Life 2: Episode Two,21
440,Team Fortress 2,47965
456,Team Fortress 2 - Summer 2012 Community Bundle DLC,0
457,Team Fortress 2 - Summer 2012 Sale Bundle DLC,0
458,Team Fortress 2 - Summer 2011 DLC,0
459,Team Fortress 2 - Premium DLC,0
480,Spacewar,74072
500,Left 4 Dead,527
510,Left 4 Dead Dedicated Server,0
513,Left 4 Dead Authoring Tools,1
520,Team Fortress 2 Beta,0
530,Left 4 Dead Demo,0
540,Left 4 Dead Demo Dedicated Server,0
550,Left 4 Dead 2,27570
560,Left 4 Dead 2 Dedicated Server,0
563,Left 4 Dead 2 Authoring Tools,23
564,Left 4 Dead 2 Add-on Support,0
565,Left 4 Dead 2 Preorder DLC,0
570,Dota 2,739765
575,Dota 2 - English Depot,0
576,Dota 2 - SteelSeries DLC ,0
581,Dota 2 - Murrissey the Smeevil,0
582,Dota 2 - Lockjaw the Boxhound,0
583,Dota 2 - Drodo the Druffin,0
584,Dota 2 - Inflatable Donkey Courier,0
585,Dota 2 - Plush Donkey Courier,0
586,Dota 2 - International Axe,0
590,Left 4 Dead 2 Demo,0
620,Portal 2,1926
629,Portal 2 Authoring Tools,19
630,Alien Swarm,17
635,Alien Swarm Dedicated Server,0
640,Alien Swarm - SDK,0
644,Portal 2 Publishing Tool,0
650,Portal 2 - Gamestop PS3 DLC,0
651,Portal 2 - Bot Paint Job DLC,0
652,Portal 2 - Bot Roll Cage DLC,0
653,Portal 2 - Bot Antenna Topper DLC,0
654,Portal 2 - Summer 2011 DLC,0
659,Portal 2 - Pre-order,0
660,Portal 2 Sixense MotionPack,0
669,Portal 2 - Sixense Motion Preorder,0
730,Counter-Strike 2,1542443
740,Counter-Strike Global Offensive - Dedicated Server,0
745,Counter-Strike: Global Offensive - SDK,7
753,Steam,281
754,Steam Economy,1
755,Steam Achievements,0
756,Steam Big Picture,0
760,Steam Screenshots,0
761,Steam Cloud - Videos,0
764,Steam Cloud - User Logs,1
765,Greenlight,1
767,Steam Artwork,0
852,ValveTestApp852,0
854,ValveTestApp854,0
900,Zombie Movie,0
901,Day of Defeat: Prelude to Victory,0
902,Dangerous Waters Trailer,0
903,Darwinia Trailer,0
904,Half-Life 2 Trailer,0
905,Half-Life 2: Episode One Trailer,0
906,Rag Doll Kung Fu Trailer,0
907,Red Orchestra Trailer,0
